@relation letter-weka.filters.unsupervised.instance.ClassRemover-Clast-N2-H

@attribute x-box numeric
@attribute y-box numeric
@attribute width numeric
@attribute high numeric
@attribute onpix numeric
@attribute x-bar numeric
@attribute y-bar numeric
@attribute x2bar numeric
@attribute y2bar numeric
@attribute xybar numeric
@attribute x2ybr numeric
@attribute xy2br numeric
@attribute x-ege numeric
@attribute xegvy numeric
@attribute y-ege numeric
@attribute yegvx numeric
@attribute class {D,U}

@data

1,0,2,1,1,5,7,8,6,7,6,6,2,8,3,8,D
3,8,5,6,4,8,8,4,5,9,5,4,3,8,3,7,D
2,5,4,4,3,9,6,4,6,10,4,6,2,8,3,8,D
3,4,4,3,3,7,7,6,7,7,6,5,2,8,3,7,D
2,1,3,2,2,7,9,5,6,7,9,9,3,9,1,8,U
5,10,7,8,6,7,7,8,5,7,6,5,4,8,3,7,D
5,10,7,7,5,7,9,4,6,5,8,10,6,10,1,7,U
4,7,4,5,3,7,6,12,4,7,12,8,3,9,0,8,U
5,10,7,7,5,10,6,4,7,11,3,6,4,6,4,8,D
5,7,6,5,3,4,8,5,7,9,8,9,3,9,2,5,U
2,3,3,2,2,9,6,4,6,10,4,6,2,8,2,9,D
6,11,6,8,4,5,7,10,10,7,6,6,3,8,4,8,D
4,9,5,7,3,6,8,7,7,7,10,9,3,9,1,8,U
3,4,5,3,3,10,6,3,7,10,3,6,2,8,3,9,D
5,11,6,8,6,6,7,9,7,6,5,5,2,8,3,7,D
9,15,8,8,6,8,6,3,7,10,5,7,6,8,8,5,D
6,10,8,7,5,4,8,7,8,9,11,11,3,9,1,8,U
8,10,8,8,7,5,7,5,8,8,6,9,8,8,6,1,U
2,2,3,3,2,7,7,6,6,7,6,5,2,8,3,7,D
4,9,6,6,5,6,8,8,5,6,5,12,5,8,7,4,U
6,10,8,8,5,6,9,5,7,6,9,10,6,10,1,7,U
4,8,5,6,3,6,9,6,6,5,9,10,3,9,1,8,U
4,3,5,2,2,5,8,5,7,10,10,9,3,9,2,6,U
5,9,6,6,5,5,8,9,7,7,7,6,2,8,3,8,D
4,8,6,6,4,6,8,7,7,11,7,5,3,8,4,8,D
5,11,6,8,7,8,7,5,5,10,5,5,3,8,3,8,D
6,10,8,8,11,7,6,4,5,7,7,8,11,9,7,10,U
2,3,4,2,2,9,7,4,6,10,4,6,2,8,3,8,D
3,5,4,3,2,7,9,6,7,7,9,9,3,9,1,8,U
6,9,6,5,3,8,6,5,6,10,4,6,4,7,6,10,D
3,6,4,4,3,7,7,6,5,7,7,6,3,8,3,7,D
8,15,7,8,5,6,7,4,7,9,6,7,5,9,7,5,D
8,10,8,7,6,4,8,5,8,9,8,10,6,8,4,3,U
5,9,5,5,3,5,8,4,6,9,6,6,4,10,6,5,D
7,11,7,6,4,10,4,5,6,12,3,9,5,6,5,10,D
3,1,4,2,2,6,9,5,6,7,9,9,3,9,1,8,U
4,7,5,5,2,4,8,5,6,11,11,10,3,9,1,7,U
4,6,6,4,4,9,7,4,6,10,4,5,3,8,3,8,D
1,0,1,0,0,6,7,7,5,7,6,6,2,8,3,8,D
2,3,3,1,2,9,6,3,6,10,4,6,2,8,2,9,D
6,11,8,8,8,8,6,8,5,7,6,9,6,8,5,6,U
6,9,8,8,7,7,7,5,4,5,7,8,7,7,2,6,U
3,7,5,5,4,9,6,7,5,7,6,8,3,8,4,5,U
9,13,8,8,5,8,5,4,6,6,7,6,6,8,4,6,U
4,6,5,4,3,6,8,6,8,7,10,9,3,9,1,8,U
4,2,5,4,2,6,8,5,8,6,9,9,3,9,1,7,U
5,9,6,6,5,9,7,4,5,10,5,6,3,8,3,8,D
10,15,9,8,5,7,6,5,6,9,4,5,5,8,6,9,D
3,8,4,6,2,5,7,10,8,6,5,5,3,8,4,8,D
5,8,5,6,3,3,8,5,7,10,10,10,3,9,2,6,U
4,9,6,7,6,7,7,8,6,6,5,5,3,9,4,8,D
4,9,5,7,2,7,5,15,5,7,13,8,3,9,0,8,U
4,9,5,6,4,7,6,12,4,6,12,8,3,9,0,8,U
5,7,5,5,3,3,9,5,6,11,11,9,3,9,1,6,U
7,9,9,8,8,6,7,5,8,7,6,9,6,4,8,3,D
4,6,5,4,4,8,6,7,5,7,6,9,3,8,4,6,U
4,9,6,6,3,4,9,7,7,10,11,9,3,9,1,8,U
