@relation pendigits-weka.filters.unsupervised.instance.ClassRemover-Clast-N2-H

@attribute input1 numeric
@attribute input2 numeric
@attribute input3 numeric
@attribute input4 numeric
@attribute input5 numeric
@attribute input6 numeric
@attribute input7 numeric
@attribute input8 numeric
@attribute input9 numeric
@attribute input10 numeric
@attribute input11 numeric
@attribute input12 numeric
@attribute input13 numeric
@attribute input14 numeric
@attribute input15 numeric
@attribute input16 numeric
@attribute class {2,4}

@data

0,89,27,100,42,75,29,45,15,15,37,0,69,2,100,6,2
0,100,7,92,5,68,19,45,86,34,100,45,74,23,67,0,4
0,100,3,72,26,35,85,35,100,71,73,97,65,49,66,0,4
24,66,43,100,59,65,34,28,0,1,16,11,58,0,100,1,2
0,73,19,99,72,100,70,73,32,48,5,18,46,0,100,0,2
11,100,0,69,15,43,87,47,100,65,74,67,71,33,66,0,4
46,100,10,83,34,64,100,77,71,82,49,54,22,27,0,0,4
77,97,40,100,0,59,9,29,84,33,100,64,77,44,48,0,4
9,93,53,100,89,80,57,52,17,30,0,5,50,2,100,0,2
29,72,45,100,78,78,60,41,25,12,0,4,50,6,100,0,2
63,100,40,73,70,63,100,77,79,74,55,48,29,23,0,0,4
17,100,0,74,6,36,77,37,100,63,73,95,71,47,75,0,4
12,78,40,100,74,77,52,41,13,14,0,17,50,8,100,0,2
34,100,21,76,0,35,43,30,91,29,100,41,74,46,67,0,4
31,73,55,100,55,53,33,14,0,0,30,11,65,1,100,1,2
46,100,21,85,0,60,24,42,68,44,100,49,76,25,58,0,4
22,100,1,66,0,33,50,32,100,36,82,63,77,30,71,0,4
33,58,19,90,78,100,91,62,51,28,0,2,37,1,100,0,2
0,87,37,100,19,70,5,42,88,49,100,58,84,28,88,0,4
42,100,9,79,0,46,48,31,100,46,89,52,46,30,19,0,4
44,66,67,100,80,62,47,25,5,0,0,3,50,4,100,7,2
16,100,0,78,5,54,41,32,93,39,100,48,91,24,89,0,4
29,73,56,100,68,71,45,38,11,12,0,8,50,6,100,0,2
67,100,30,90,0,57,41,40,100,53,98,67,66,34,40,0,4
40,79,61,100,78,72,46,41,0,16,1,5,61,1,100,0,2
19,100,4,77,0,51,46,36,100,47,96,49,87,23,77,0,4
3,66,16,100,27,69,14,32,0,0,33,5,67,10,100,11,2
47,100,40,82,18,49,0,19,53,20,92,34,94,35,100,0,4
72,100,38,84,13,63,0,40,40,28,88,31,100,22,84,0,4
13,100,0,76,28,53,94,56,100,76,93,66,94,33,91,0,4
30,100,16,84,0,51,28,26,80,33,100,65,79,34,68,0,4
67,100,36,82,0,60,5,37,66,38,100,50,73,25,56,0,4
53,100,23,77,0,57,74,66,100,79,70,85,44,42,16,0,4
27,100,0,74,40,54,100,59,84,91,57,64,43,32,33,0,4
48,95,94,100,100,73,75,47,41,25,0,5,41,1,94,0,2
0,61,22,89,59,100,72,73,53,42,31,12,58,0,100,4,2
69,100,31,73,39,55,89,62,100,84,63,57,31,28,0,0,4
52,100,29,73,0,47,19,42,69,37,100,54,90,30,88,0,4
0,89,47,100,89,87,74,61,45,37,15,14,43,0,100,1,2
80,100,60,76,26,52,0,28,46,11,97,29,100,24,100,0,4
51,100,0,90,5,57,92,61,100,70,85,82,68,40,86,0,4
34,64,52,100,58,57,37,16,0,0,24,20,61,1,100,5,2
9,61,25,100,59,72,42,27,0,5,5,24,53,16,100,0,2
73,100,43,70,0,42,25,41,100,45,90,64,63,32,54,0,4
0,74,28,100,69,99,79,63,59,28,28,0,57,0,100,2,2
28,75,57,100,93,82,71,51,33,26,0,0,49,5,100,16,2
3,100,4,83,0,56,15,31,60,28,100,42,91,26,88,0,4
70,100,46,70,12,38,0,25,52,29,100,41,96,38,90,0,4
13,100,8,93,0,66,8,41,57,40,100,50,82,25,69,0,4
41,79,47,100,84,94,71,52,42,16,0,3,49,7,100,0,2
45,100,1,67,0,24,69,24,100,48,73,98,80,53,90,0,4
36,69,33,100,64,85,43,48,0,21,6,19,57,0,100,20,2
28,71,43,100,76,79,49,47,11,21,0,0,50,1,100,4,2
74,100,30,76,0,50,55,49,100,72,77,56,52,28,35,0,4
0,84,34,100,67,85,60,44,31,19,26,20,64,13,100,0,2
47,100,19,81,0,58,19,39,61,38,100,42,82,23,62,0,4
0,73,28,92,73,100,100,81,85,55,58,32,36,8,79,0,2
42,100,34,73,0,42,2,42,62,36,100,59,92,35,87,0,4
0,85,32,100,76,91,70,65,38,43,11,20,50,6,100,0,2
10,100,24,93,0,61,0,37,69,35,100,57,80,34,70,0,4
